Stop thinking about your math test and BREATHE,,,
"Endurance is one of the most difficult disciplines, but it is to the one who endures that the final victory comes. ~ Buddha #buddha #dsb",,,
People become attached to their burdens sometimes more than the burdens are attached to them. ~ George Bernard Shaw #dailystressbuster,,,
"Fear can keep us up all night long, but faith makes one fine pillow. ~ Philip Gulley #fear #faith #dailystressbuster #dsb",,,
Wanna fly? You got to give up the shit that weighs you down! ~ Toni Morrison #worry #problems #fly #letgo #shit #giveup,,,
"Stress is like an iceberg. We can see one-eighth of it above, but what about whats below? #stress #iceberg",,,
"I dont worry about being in a hurry anymore, because my faith in God will always deliver me on time. ~ Martha Reeves #God #faith #time",,,
Dont let the mind bully your body into believing it must caryy the burden of its worries. ~ Astrid Alauda #worries #burden #believe,,,
Tips to Help You De-Stress,,,
One of the symptoms of an approaching nervous breakdown is the belief that ones work is terribly important. #dailystressbuster #work,,,
"When you're going through hell, keep going. ~ Winston Churchill #dailystressbuster #winstonchurchill #problems",,,
The mark of a successful man is one that has spent an entire day on the bank of a river without feeling guilty about it. #success #dsb,,,
Worry often gives a small thing a big shadow. #dailystressbuster #worry #shadow,,,
Take rest; a field that has rested gives a bountiful crop. ~ Ovid #dailystressbuster #ovid #rest #productive,,,
"You will not be punished for your anger, you will be punished by your anger. ~ Buddha #dailystressbuster #buddha #anger",,,
Stress is poison. ~ Agave Powers #dailystressbuster #dsb #stress #poison,,,
There is no use worrying about things over w/c you have no control &amp; if you have control you can do something about them instead of worrying,,,
Worry bankrupts the spirit. ~ Berri Clove #dailystressbuster #berriclove #worry #spirit,,,
Stress is when you wake up screaming and you realize you haven't fallen asleep yet. #dailystressbuster #dsb #stress #sleep,,,
"Everything changes, nothing remains without change. ~ Buddha #dailystressbuster #changes #buddha #dsb",,,
"It is not work that kills, but worry. ~ African Proverb #dailystressbuster #work #worry #kills #dsb",,,
Worry is a complete cycle of inefficient thought revolving about a pivot of fear. #dailystressbuster #worry #fear,,,
Do not be afraid of tomorrow; for God is already there. #dailystressbuster #future #God #afraid,,,
Tension is who think you should be. Relaxation is who you are. ~ Chinese Proverb #dailystressbuster #tension #relaxation,,,
"If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear? ~ Confucius #fear",,,
"Know well what leads you forward and what hold you back, and choose the path that leads to wisdom. ~ Buddha #dailystressbuster #buddha",,,
"Worry never robs tomorrow of its sorrow, it only saps today of its joy. ~ Leo Buscaglia #worry #dailystressbuster #sorrow #joy #tomorrow",,,
A woman can forgive a man for the harm he does her...but she can never forgive him for the sacrifices he makes on her account.,,,
"Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind. ~ Buddha #buddha #dsb #envy",,,
All that we are is the result of what we have thought. The mind is everything. What we think we become. ~Buddha #dailystressbuster #buddha,,,
Your mind will answer most questions if you learn to relax. ~ William S. Burroughs #williamburroughs #dailystressbuster #relax,,,
I believe that stress is a factor in any bad health. ~ Christopher Shays #dailystressbuster #stress #health,,,
Stress is the physical and psychological effects we experience as a result of the way we react to changes in the surrounding environment.,,,
"Don't worry about how much money u have &amp; how u are going to spend it Worry about how much love u have,that way,u can spend ur life happily.",,,
Believing that u must do something perfectly is a recipe for stress&amp;u'll associate that stress w/ the task&amp;thus condition urself to avoid it,,,
"If you're doing your best, you won't have any time to worry about failure. ~ H. Jackson Brown, Jr. #dailystressbuster #worry #failure",,,
"If you're doing your best, you won't have any time to worry about failure. ~ H. Jackson Brown, Jr. #DSB #dailystressbuster",,,
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive. #DSB",,,
"Worry is a thin stream of fear trickling through the mind. If encouraged, it cuts a channel into which all other thoughts are drained. #dsb",,,
"Stress is basically a disconnection from the earth, a forgetting of the breath. Nothing is that important. Just lie down. ~Natalie Goldberg",,,
Worrying about it takes precious time and attention away from your priorities and increases your feelings of dissatisfaction about life.,,,
Stress is nothing more than a socially acceptable form of mental illness. ~ Richard Carlson #stress #dailystressbuster #DSB #illness,,,
Keep your sense of humor. There's enough stress in the rest of your life to let bad shots ruin a game you're supposed to enjoy. #dsb #life,,,
Don't hurry. Don't worry. You're only here for a short visit. So don't forget to stop and smell the roses. ~ Walter Hagen #dsb #life,,,
Pressure and stress is the common cold of the psyche. ~ Andrew Denton #stress #pressure #dailystressbuster,,,
For fast-acting relief try slowing down. ~ Lily Tomlin #relief #dailystressbuster #stressfree,,,
"Pressure is a word that is misused in our vocabulary. When you start thinking of pressure, it's because you've started to think of failure.",,,
"Don't worry about the horse being blind, just load the wagon. ~ John Madden #dailystressbuster #worry #trust",,,
"People see the world not as it is, but as they are. ~ Al Lee #dailystressbuster #people",,,
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment. ~ Buddha #dailystressbuster #past #DSB",,,
Blessed is the person who is too busy to worry in the daytime and too sleepy to worry at night. #dailystressbuster #blessed #busy,,,
"Sometimes when people are under stress, they hate to think, and it's the time when they most need to think. ~ Bill Clinton #stress #DSB",,,
Be too big for worry and too noble for anger. ~ Christian D. Larsen #dailystressbuster #worry #anger,,,
Anger will never disappear so long as thots of resentment r cherished in d mind Anger disappears as soon as thots of resentment r forgotten.,,,
People are as happy as they make up their minds to be. ~ Abraham Lincoln #dailystressbuster #happy #stateofmind,,,
"If you want to test your memory, try to recall what you were worrying about one year ago today. ~ E. Joseph Cossman #dailystressbuster",,,
Every evening I turn my worries over to God. He's going to be up all night anyway. ~ Mary C. Crowley #God #prayer #worries,,,
"If you can't fight or flee, then flow. If you don't mind, it don't matter. #dailystressbuster #fight #flee #matter #mind #troubles",,,
Now is no time to think of what you do not have. Think of what you can do with what there is. ~ Ernest Hemingway #DSB #dailystressbuster,,,
"Love looks forward, hate looks back, anxiety has eyes all over its head. ~ Mignon McLaughlin #dailystressbuster #love #hate #anxiety",,,
"When we commit to action, to actually doing something rather than feeling trapped by events, the stress in our life becomes manageable. #DSB",,,
Even death is not to be feared by one who has lived wisely. ~ Buddha,,,
Today is the tomorrow we worried about yesterday. #dailystressbuster #DSB,,,
Troubles are a lot like people - they grow bigger if you nurse them. #dailystressbuster #DSB #troubles #problems,,,
Adopt the right attitude can convert a negative stress into a positive one. ~ Hans Selye #DSB #dailystressbuster #stress #attitude,,,
"Never bear more than one kind of trouble at a time. Some people bear three-all they have had, all they have now and all they expect to have.",,,
"""Do not anticipate trouble or worry about what may never happen. Keep in the sunlight."" ~ Benjamin Franklin ~ #DSB #dailystressbuster",,,
"""Stress is simply the adaptation of our bodies and minds to change."" ~Peter G. Hanson~ #DSB #dailystressbuster",,,
"""Your work is to discover your world and then with all your heart give yourself to it."" ~ Buddha~ #DSB #dailystressbuster",,,
If you don't know where you're going any road will take you there and it doesn't matter how long it takes. #dailystressbuster #DSB,,,
Worry is interest paid on trouble before it comes due. ~ William Ralph Inge #dailystressbuster #stress,,,
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned. ~ Buddha,,,
"By forgetting the past and by throwing myself into other interests, I forget to worry. ~ Jack Dempsey #dailystressbuster #worry #stress",,,
You don't get ulcers from what you eat. You get them from what's eating you. ~ Vicki Baum #dailystressbuster #stress #DSB,,,
A journey of a thousand miles begins with but a single step. #dailystressbuster #DSB,,,
The time to relax is when you don't have time for it. ~ Sydney J. Harris #DSB #stress #dailystressbuster #relax,,,
"If you treat every situation as a life and death matter, you'll die a lot of times. ~ Dean Smith #dailystressbuster #DSB #stress",,,
There cannot be a stressful crisis next week. My schedule is already full. ~ Henry Kissinger #dailystressbuster #DSB #stress,,,
Every problem has a gift for you in its hands. ~ Richard Bach #dailystressbuster #DSB,,,
Don't worry about the world coming to an end today. It's already tomorrow in Australia. ~ Charles Schultz #dailystressbuster #DSB,,,
The key to winning is poise under stress. ~ Paul Brown #DSB #dailystressbuster,,,
"If you don't mind, it don't matter. #dailystressbuster #DSB",,,
"A pessimist is one who makes difficulties of his opportunities, and an optimist is one who makes opportunities of his difficulties. #DSB",,,
Blessed is the person who is too busy to worry in the daytime and too sleepy to worry at night. ~ Author Unknown #dailystressbuster #DSB,,,
Try not to become a man of success but rather try to become a man of value. ~ Albert Einstein #dailystressbuster #DSB,,,
"A man who suffers or stresses before it is necessary, suffers more than is necessary. ~ Seneca #dailystressbuster #DSB",,,
The greatest weapon against stress is our ability to choose one thought over another. ~ William James #DSB #dailystressbuster,,,
Stress is when you wake up screaming and you realize you haven't fallen asleep yet. #dailystressbuster #DSB #stress,,,
Running is a great way to relieve stress and clear the mind. ~ Joan Van Ark #DSB #dailystressbuster,,,
Despair says I cannot lift that weight. Happiness says I do not have to. ~ James Richardson #dailystressbuster #DSB #happiness #stress,,,
Sometimes the most important thing in a whole day is the rest we take between two deep breaths. ~ Etty Hillesum #dailystressbuster #DSB,,,
There cannot be a stressful crisis next week. My schedule is already full. ~ Henry Kissinger #dailystressbuster #DSB,,,
The only pressure I'm under is the pressure I've put on myself. ~ Mark Messier #dailystressbuster #DSB,,,
"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven. ~ John Milton #dailystressbuster #DSB",,,
You can never worry your way to enlightenment. ~ Ed Northstrum #DSB #dailystressbuster,,,
Worrying about it takes precious time & attention away from your priorities & increases your feelings of dissatisfaction about life. #DSB,,,
Being in control of your life and having realistic expectations about your day-to-day challenges are the keys to stress management. #DSB,,,
"Every stress leaves an indelible scar, and the organism pays for its survival after a stressful situation by becoming a little older. #DSB",,,
I've chosen to treat my life more like a party than something to stress about. ~ Martin Short #DSB #dailystressbuster,,,
"I never worry about action, but only inaction. ~ Winston Churchill #dailystressbuster #DSB",,,
Don't sweat the small stuff... and it's all small stuff. ~ Richard Carlson #DSB #dailystressbuster,,,
"A pessimist is one who makes difficulties of his opportunities, and an optimist is one who makes opportunities of his difficulties. #DSB",,,
"If I had my life to live over, I would perhaps have more actual troubles but I'd have fewer imaginary ones. ~ Don Herold #dailystressbuster",,,
"The life of inner peace, being harmonious & w/out stress, is the easiest type of existence. ~ Norman Vincent Peale #DSB #dailystressbuster",,,
"If there be no remedy, why worry? ~ Spanish Proverb #DSB #dailystressbuster",,,
"When you're going through hell, keep going. ~ Winston Churchill #dailystressbuster #DSB",,,
Don't hurry. Don't worry. You're only here for a short visit. So don't forget to stop and smell the roses. ~ Walter Hagen #DSB,,,
"If your teeth are clenched and your fists are clenched, your lifespan is probably clenched. ~ Adabella Radici #DSB #dailystressbuster",,,
Be too big for worry and too noble for anger. ~ Christian D. Larsen #dailystressbuster #DSB,,,
You've got to dance like nobody's watching and love like it is never going to hurt. ~ Ann Wells #DSB #dailystressbuster,,,
Stress is poison. ~ Agave Powers #dailystressbuster #DSB #stress,,,
"If you can't sleep, then get up & do something instead of lying there worrying. It's the worry that gets you, not the lack of sleep. #DSB",,,
Keep your sense of humor. There's enough stress in the rest of your life to let bad shots ruin a game you're supposed to enjoy. #DSB,,,
Worry often gives a small thing a big shadow. ~ Swedish Proverb #DSB #dailystressbuster,,,
Worry bankrupts the spirit. ~ Berri Clove #dailystressbuster #DSB,,,
"I don't worry about being in a hurry any more, because my faith in God will always deliver me on time. ~ Martha Reeves #dailystressbuster",,,
Do not be afraid of tomorrow; for God is already there. ~ Author Unknown #dailystressbuster #DSB #hope #stress,,,
"Stress exacerbates any problem, whether it's diabetes, heart trouble, MS, or whatever. ~ Mary Ann Mobley #dailystressbuster #DSB",,,
Don't worry about the world coming to an end today. It's already tomorrow in Australia. ~ Charles Schultz #dailystressbuster #DSB,,,
"By forgetting the past and by throwing myself into other interests, I forget to worry. ~ Jack Dempsey #dailystressbuster #DSB",,,
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive. #DSB",,,
Today is the tomorrow we worried about yesterday. ~ Author Unknown #dailystressbuster #dsb,,,
Now is no time to think of what you do not have. Think of what you can do with what there is. ~ Ernest Hemingway #dailystressbuster #DSB,,,
If something is wrong fix it if you can. But train yourself not to worry. Worry never fixes anything. ~ Ernest Hemingway #dailystressbuster,,,
The problem of life is to change worry into thinking and anxiety into creative action. ~ Harold B. Walker #dailystressbuster #DSB,,,
Pressure and stress is the common cold of the psyche. ~ Andrew Denton #dailystressbuster #DSB,,,
Now is no time to think of what you do not have. Think of what you can do with what there is. ~ Ernest Hemingway #dailystressbuster #DSB,,,
"Don't fight with the pillow, but lay down your head and kick every worriment out of the bed. ~ Edmund Vance Cooke #dailystressbuster #DSB",,,
"Some men storm imaginary Alps all their lives, and die in the foothills cursing difficulties which do not exist. ~ Edgar Watson Howe #DSB",,,
The only thing you will ever accomplish by worrying is to elevate your stress levels. ~ Catherine Pulsifer #DSB,,,
Stress is a designer ailment that many of the so-called afflicted suffer from with pride. ~ Janet Street-Porter #DSB,,,
"If you can't fight or flee, then flow. If you don't mind, it don't matter. ~Author Unknown #DSB",,,
"It is not work that kills, but worry. ~ African Proverb #DSB",,,
Stress is an important dragon to slay - or at least tame - in your life. ~ Marilu Henner #DSB,,,
"Stress is an admission of weakness, a cry of defeat to the world. ~ Carrie Latet #DSB",,,
Action is worry's worst enemy. ~ English Proverb #DSB,,,
"If you want to test your memory, try to recall what you were worrying about one year ago today. ~ E. Joseph Cossman #DSB",,,
Take rest; a field that has rested gives a bountiful crop. ~ Ovid #DSB,,,
In most cases stress is the root cause of death; illnesses are just the wrap up. ~ Yordan Yordanov #DSB,,,
At times of great stress it is especially necessary to achieve a complete freeing of the muscles. ~ Konstantin Stanislavsky #DSB,,,
"Wen u find urself stressed ask urself question: Will this matter years from now? If yes, den do sumthng bout it. If no, LET IT GO! #DSB",,,
The major cause of stress is the inability of people discover their real nature Discover your gifts follow dem&u will never feel stressed,,,
The greatest griefs are those we cause ourselves. ~ Sophocles #DSB,,,
Your mind will answer most questions if you learn to relax. ~ William S. Burroughs #DSB,,,
The sovereign cure for worry is prayer. ~ William James #DSB,,,
"Wanna fly, you got to give up the shit that weights you down. ~ Toni Morrison #DSB",,,
"Don't worry about it. Babe Ruth struck out on occasion, too. ~ Walter Annenberg #DSB",,,
"He who fears he shall suffer, already suffers what he fears. ~ Montaigne #DSB",,,
A journey of a thousand miles begins with but a single step. ~ Chinese Proverb #DSB,,,
"There is nothing that wastes the body like worry, & one who has any faith in God should be ashamed to worry about anything whatsoever. #DSB",,,
"Love looks forward, hate looks back, anxiety has eyes all over its head. ~ Mignon McLaughlin #DSB",,,
It takes a real storm in the average person's life to make him realize how much worrying he has done over the squalls. #DSB,,,
Tension is who you think you should be. Relaxation is who you are. ~ Chinese Proverb #dsb,,,
"Worry never robs tomorrow of its sorrow, it only saps today of its joy. ~ Leo Buscaglia #DSB",,,
The mark of a successful man is one that has spent an entire day on the bank of a river without feeling guilty about it. #DSB,,,
"Pressure is a word that is misused in our vocabulary. When you start thinking of pressure, it's because you've started to think of failure.",,,
Every evening I turn my worries over to God. He's going to be up all night anyway. ~ Mary C. Crowley #DSB,,,
": Life isn't about waiting for the storm to pass, it's about learning to dance in the rain.",,,
"If you're doing your best, you won't have any time to worry about failure. ~ H. Jackson Brown, Jr.",,,
Check out this link!!!! Special thanks to for sharing this link with me. Have a stress free day everyone!,,,
"Stress is like an iceberg. We can see one-eighth of it above, but what about whats below. #DSB",,,
"It's not stress that kills us, it is our reaction to it. ~ Hans Selye #DSB",,,
Dont let the mind bully your body into believing it must carry the burden of its worries. ~ Astrid Alauda #DSB,,,
"If things go wrong, don't go with them. ~ Roger Babson #DSB",,,
The key to winning is poise under stress. ~ Paul Brown #DSB,,,
The best way to cheer yourself up is to try to cheer somebody else up. ~ Mark Twain #DSB,,,
"If you're doing your best, you won't have any time to worry about failure. ~ H. Jackson Brown, Jr. #DSB",,,
"""Worry"" is a word that I don't allow myself to use. #DSB",,,
Worry is interest paid on trouble before it comes due. #DSB,,,
"If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear? - Confucius #DSB",,,
Stress is not what happens to us. It's our response to what happens. And response is something we can choose.,,,
Sometimes headache is all in your head. Relax.,,,
Adopt the right attitude can convert a negative stress into a positive one. - Hans Selye,,,
There is more to life than increasing its speed. - Mohandas Gandhi,,,
Troubles are a lot like people - they grow bigger if you nurse them.,,,
"Rather than sitting and worrying, do something, anything. Worrying is a waste of time. #DSB",,,
"Fear can keep us up all night long, but faith makes one fine pillow. - Philip Gulley",,,
Sometimes the most urgent thing you can do is take a complete rest. - Ashleigh Brilliant,,,
The greatest mistake you can make in life is to be continually fearing you will make one. - Elber Hubbard,,,
"Recommend me pls! For inspirational quotes on love, friendship, managing stress at work or play! Only here on your Daily Stress Buster!#DSB",,,
When one door of happiness closes another opens but often we look so long at the closed door that we don't see the one w/c has opened for us,,,
For fast-acting relief try slowing down. - Lily Tomlin,,,
In the middle of every difficulty lies opportunity. - Albert Einstein,,,
Stress is nothing more han a socially acceptable form of mental illness. - Richard Carlson,,,
Worry is a complete cycle of inefficient thought revolving about a pivot of fear.,,,
Put your trust in the Lord and go ahead. Worry gets you no place.- Roy Acuff,,,
All pressure is self-inflicted. It's what you make of it or how you let it rub off on you. - Sebastian Coe,,,
What happens is not as important as how you react to what happens. - Thaddeus Golas,,,
"Never bear more than one kind of trouble at a time. Some people bear three- all they have had, all they have now, & all they expect to have.",,,
"'Blessed is the person who is too busy to worry in the daytime and to sleepy to worry at night.""",,,
"A pessimist is one who makes difficulties of his opportunities, and an optimist is one who makes opportunities of his difficulties. #DSB",,,
You've got to dance like nobody's watching and love like you've never been hurt before.- Ann Wells,,,
People are as happy as they make up their minds to be. - Abraham Lincoln,,,
The greatest weapon against stress is our ability to choose one thought over another. - William James,,,
"A man who suffers or stresses before necessary, suffers more than necessary.- Seneca", listen to some calming ocean sounds," and still your mind for a minute. You'll be amazed at the difference a minute makes! Try out a mini meditation for #DeStressMonday today with the help of our free audio aids:""",calm
"We're joining our friends to #BeattheBlues. Our favorite ways to beat the blues these days are deep breathing, meditation, and quality kitty time! How are you beating the blues this #DeStressMonday?",,,
"In honor of #MLKDay, we're celebrating 's which is dedicated to providing mental health &amp; wellness resources to underserved Black communities. Read more about the important work of the foundation in our #GoodNewsMonday roundup:",,,
Thanks for sharing!,,,
Use this #DeStressMonday to commit to taking back control of your headspace with these five simple stress management practices. Get started here: #HealthyMonday,,,
How about a little good news this Monday? A new study shows mindfulness-based cognitive therapy can make a real difference in helping people with recurrent depressive disorder. Read more about the study and the rest of our #GoodNewsMonday stories at:,,,
"Thanks, Jaxon!",,,
It was our pleasure! Thanks for hosting and thanks to everyone who joined for all the great tips and thoughts! #SOSChat,,,
Thanks for the shout-out! We're happy to be in such great company. #SOSChat,,,
"A8: We offer a full range of stress-relief and mental wellness programming, from positivity to mindfulness to yoga. Check out our weekly blog posts or subscribe to our newsletter for new tips every #DeStressMonday: #SOSChat",,,
"Thank you! A big part of positivity practice is acknowledging when you don't feel good, accepting the negative feelings, and then allowing them to move on naturally. #SOSChat",,,
"A7: One often-overlooked factor in mental wellness is our surroundings. As we continue to work remotely, well be making an effort to improve our work/living spaces to create a more positive, relaxing environment using these ideas: #SOSChat",,,
Wonderfully said! #SOSChat,,,
It's really amazing how cathartic writing down your feelings and experiences can be. #SOSChat,,,
Yes! And being open about your goals and progress with others helps create opportunities for them to lend a hand when you need support or when you just need a friend to celebrate a milestone with. #SOSChat,,,
